-45, 32, 315
-80, 22, 304
-80, 22, 304
-90, 19, 292
-64, 0, 288
-19, -8, 285
-19, -8, 285
5, -17, 319
14, -53, 318
0, -56, 318
0, -56, 318
-54, -40, 322
-97, -6, 378
-97, -6, 378
-103, 22, 449
-60, -28, 493
-52, -46, 525
33, -28, 546
33, -28, 546
171, -63, 648
174, -42, 957
93, 84, 1178
93, 213, 1315
-,-,-
-196, -4, 912
-248, 53, 1139
-311, 12, 1444
-264, 53, 1814
-216, 112, 1998
-204, 250, 1998
-190, 337, 1998
-190, 337, 1998
-176, 339, 1995
-157, 296, 1761
-143, 231, 1444
-174, 180, 1169
-153, 197, 1011
-83, 254, 917
-80, 224, 784
-111, 147, 604
-111, 147, 604
-127, 85, 481
-122, 70, 382
-93, 87, 423
-46, 124, 470
-46, 124, 470
-16, 77, 399
-4, 40, 313
-9, 2, 253
-9, 2, 253
-23, -17, 241
-12, -25, 245
10, -15, 240
10, -15, 240
-13, -40, 213
-72, -14, 215
-86, 19, 305
-38, -6, 368
-38, -6, 368
-62, -55, 426
-107, -82, 526
-64, -41, 758
56, -56, 994
56, -56, 994
96, -51, 1245
66, 27, 1574
137, 51, 1797
137, 51, 1797
-,-,-
-202, -139, 958
-201, -134, 1181
-212, -38, 1714
-225, 75, 1996
-219, 134, 1998
-235, 151, 1998
-207, 237, 1998
-151, 333, 1966
-151, 333, 1966
-105, 361, 1710
-82, 332, 1429
-73, 285, 1206
-52, 250, 1044
-21, 246, 950
-8, 214, 858
-8, 214, 858
-10, 116, 688
5, 71, 565
4, 50, 487
4, 50, 487
2, 12, 413
5, -42, 341
5, -42, 341
7, -86, 280
-10, -109, 248
-31, -140, 253
-31, -140, 253
-22, -174, 249
5, -205, 220
14, -214, 224
-40, -212, 254
-112, -183, 293
-112, -183, 293
-137, -147, 347
-113, -103, 374
-111, -58, 412
-127, -56, 461
-143, -21, 546
-76, 36, 603
-24, 56, 864
-24, 56, 864
-16, 44, 1135
-65, 140, 1332
-35, 221, 1469
65, 219, 1797
65, 219, 1797
208, 275, 1992
194, 292, 1998
173, 343, 1998
-,-,-
-184, 33, 825
-184, 33, 825
-210, 88, 1012
-206, 98, 1168
-230, 136, 1394
-224, 161, 1625
-178, 199, 1921
-103, 227, 1998
-24, 204, 1998
37, 182, 1998
37, 182, 1998
89, 178, 1949
114, 207, 1768
86, 156, 1560
39, 111, 1292
39, 111, 1292
26, 117, 1057
28, 132, 934
34, 136, 814
49, 126, 648
49, 126, 648
68, 142, 516
31, 134, 460
-21, 85, 396
-21, 85, 396
-20, 45, 342
-15, 27, 323
-1, -8, 302
-1, -8, 302
9, -29, 265
12, -64, 244
12, -64, 244
36, -108, 242
57, -160, 241
56, -183, 250
-9, -171, 245
-9, -171, 245
-93, -114, 258
-145, -34, 303
-231, 12, 411
-,-,-
-287, -47, 942
-294, 23, 1155
-250, 92, 1305
-203, 176, 1468
-199, 243, 1596
-164, 229, 1651
-121, 231, 1754
-78, 230, 1886
-78, 230, 1886
-25, 173, 1851
1, 94, 1719
-11, 38, 1573
-14, 3, 1421
-14, 3, 1421
-15, -45, 1237
-21, -27, 1091
17, 24, 1007
43, 47, 829
43, 47, 829
70, 46, 620
85, 90, 473
85, 90, 473
109, 107, 420
100, 90, 361
80, 42, 325
80, 42, 325
